คำ	นับวรรค	ไม่นับวรรค	พยัญชนะ	สระ	วรรณยุกต์	การันต์
ตะลุ่มโปง	9	9	5	3	1	0
ตะวันขึ้น	9	9	5	3	1	0
ตะเบ็งมาน	9	9	5	4	0	0
ตะแหง่ว ๆ	9	8	4	2	1	0
ตะแหมะแขะ	9	9	4	5	0	0
ตะไคร้น้ำ	9	9	4	3	2	0
ตะไคร้หอม	9	9	6	2	1	0
ตะไคร้แดง	9	9	5	3	1	0
ตั้งครรภ์	9	9	6	1	1	1
ตั้งตาคอย	9	9	6	2	1	0
ตั้งรกราก	9	9	6	2	1	0
ตัณหักษัย	9	9	6	3	0	0
ตันติภาษา	9	9	5	4	0	0
ตับเรื่อง	9	9	5	3	1	0
ตัวกระแอม	9	9	6	3	0	0
ตัวต่อตัว	9	9	6	2	1	0
ตัวประกอบ	9	9	7	2	0	0
ตัวประกัน	9	9	6	3	0	0
ตั้วเหี่ย	9	9	4	3	2	0
ตาตั๊กแตน	9	9	5	3	1	0
ตานจอมทอง	9	9	8	1	0	0
ตาน้ำข้าว	9	9	4	3	2	0
ตานเสี้ยน	9	9	5	3	1	0
ตานเหลือง	9	9	6	3	0	0
ตาบอดตาใส	9	9	6	3	0	0
ตามพหัตถี	9	9	6	3	0	0
ตาหมากรุก	9	9	6	3	0	0
ตาเจ้าชู้	9	9	3	4	2	0
ตาเป็นมัน	9	9	5	4	0	0
ตาเรือชัย	9	9	5	4	0	0
ตำรวจภูธร	9	9	7	2	0	0
ตำรวจหลวง	9	9	8	1	0	0
ตำหนักน้ำ	9	9	5	3	1	0
ตำแยเครือ	9	9	5	4	0	0
ติดกระดุม	9	9	6	3	0	0
ติดตะกร้อ	9	9	6	2	1	0
ติดร่างแห	9	9	5	3	1	0
ติ๊ดหนึ่ง	9	9	5	2	2	0
ติดหลังแห	9	9	6	3	0	0
ติดอันดับ	9	9	6	3	0	0
ติ๊ดเดียว	9	9	5	3	1	0
ตีทะเบียน	9	9	5	4	0	0
ตีท้ายน้ำ	9	9	4	3	2	0
ตีนตุ๊กแก	9	9	5	3	1	0
ตีนเหยียด	9	9	6	3	0	0
ตีบังกั้น	9	9	5	3	1	0
ตีสองหน้า	9	9	6	2	1	0
ตีหน้าตาย	9	9	5	3	1	0
ตีเสียว่า	9	9	4	4	1	0
ตึงเครียด	9	9	6	3	0	0
ตื้นตันใจ	9	9	5	3	1	0
ตุ้มกว้าว	9	9	5	2	2	0
ตุรงคราวี	9	9	6	3	0	0
ตุริยางค์	9	9	5	3	0	1
ตู้นิรภัย	9	9	5	3	1	0
ตู้เสบียง	9	9	5	3	1	0
เต็งหนึ่ง	9	9	5	3	1	0
เต็มประดา	9	9	5	4	0	0
เต็มประตู	9	9	5	4	0	0
เต็มอัตรา	9	9	5	4	0	0
เตยเลื้อย	9	9	5	3	1	0
เตร็ดเตร่	9	9	5	3	1	0
เตร็ดเตรน	9	9	6	3	0	0
เตรียมตรม	9	9	7	2	0	0
เตรียมตัว	9	9	6	3	0	0
เต่าเกียด	9	9	4	4	1	0
เต๋าเขย่า	9	9	3	4	2	0
เต่าเดือย	9	9	4	4	1	0
เต่าเลือน	9	9	4	4	1	0
เต้าเสียบ	9	9	4	4	1	0
แต่งกว้าน	9	9	5	2	2	0
แตงเถาตาย	9	9	5	4	0	0
แต่ช้าแต่	9	9	3	3	3	0
แตรเดี่ยว	9	9	5	3	1	0
แต่หัววัน	9	9	5	3	1	0
โตเล่นหาง	9	9	5	3	1	0
ไตรตรึงษ์	9	9	6	2	0	1
ไตรลักษณ์	9	9	6	2	0	1
ถนนลาดยาง	9	9	7	2	0	0
ถนอมอาหาร	9	9	7	2	0	0
ถนิมสร้อย	9	9	7	1	1	0
ถมปรักมาศ	9	9	7	2	0	0
ถวายบังคม	9	9	7	2	0	0
ถวายพระพร	9	9	7	2	0	0
ถอดหัวโขน	9	9	7	2	0	0
ถอนคำฟ้อง	9	9	7	1	1	0
ถอนสายบัว	9	9	7	2	0	0
ถอนใจใหญ่	9	9	6	2	1	0
ถอยใจใหญ่	9	9	6	2	1	0
ถั่วยี่สง	9	9	5	2	2	0
ถ่านไฟฉาย	9	9	5	3	1	0
ถ่ายทุกข์	9	9	5	2	1	1
ถ่ายสำเนา	9	9	4	4	1	0
ถ่ายเดียว	9	9	5	3	1	0
ถาวรวัตถุ	9	9	6	3	0	0
ถ้าหากว่า	9	9	4	3	2	0
ถีบกระดาน	9	9	6	3	0	0
ถีบหัวส่ง	9	9	6	2	1	0
ถึงมรณภาพ	9	9	7	2	0	0
ถือกำเนิด	9	9	5	4	0	0
ถือวิสาสะ	9	9	5	4	0	0
ถือสิทธิ์	9	9	5	3	0	1
ถุงสำเร็จ	9	9	5	4	0	0
ถุลลัจจัย	9	9	6	3	0	0
ถเมินเชิง	9	9	5	4	0	0
เถลือกถลน	9	9	7	2	0	0
เถาย่านาง	9	9	4	4	1	0
แถลงการณ์	9	9	6	2	0	1
ไถยสังวาส	9	9	6	3	0	0
ทนายเรือน	9	9	6	3	0	0
ทนายเลือก	9	9	6	3	0	0
ทรงประพาส	9	9	7	2	0	0
ทรรศนาการ	9	9	7	2	0	0
ทรัพย์สิน	9	9	6	2	0	1
ทฤษฎีใหม่	9	9	6	3	1	0
ท่วงทำนอง	9	9	7	1	1	0
ทวัตดึงส์	9	9	6	2	0	1
ทวาทศมณฑล	9	9	8	1	0	0
ทศเบญจกูล	9	9	7	2	0	0
ทหารเกณฑ์	9	9	6	2	0	1
ทองคำเปลว	9	9	7	2	0	0
ทองดอกบวบ	9	9	9	0	0	0
ทองต้นแขน	9	9	7	1	1	0
ทองบรอนซ์	9	9	8	0	0	1
ทองพระขุน	9	9	7	2	0	0
ทองพระบาท	9	9	7	2	0	0
ทองพันดุล	9	9	7	2	0	0
ท้องสำนวน	9	9	7	1	1	0
ทองอังกฤษ	9	9	8	2	0	0
ทองเหลือง	9	9	7	2	0	0
ทอดผ้าป่า	9	9	5	2	2	0
ทอดพระที่	9	9	6	2	1	0
ท่อไอเสีย	9	9	5	3	1	0
ทะนานหลวง	9	9	7	2	0	0
ทะนุกถนอม	9	9	7	2	0	0
ทะนุบำรุง	9	9	5	4	0	0
ทะยานอยาก	9	9	6	3	0	0
ทะเลภายใน	9	9	5	4	0	0
ทักขิณาบถ	9	9	6	3	0	0
ทักขิโณทก	9	9	6	3	0	0
ทักษิโณทก	9	9	6	3	0	0
ทัณฑวิทยา	9	9	6	3	0	0
ทัดดอกไม้	9	9	6	2	1	0
ทันตาเห็น	9	9	5	4	0	0
ทันตแพทย์	9	9	6	2	0	1
ทันท่วงที	9	9	6	2	1	0
ทันใดนั้น	9	9	5	3	1	0
ทับทางขาว	9	9	6	3	0	0
ทับสิทธิ์	9	9	5	3	0	1
ทั่ว ๆ ไป	9	7	3	2	1	0
ทัศนวิสัย	9	9	6	3	0	0
ทัศนศิลป์	9	9	6	2	0	1
ทัศนศึกษา	9	9	6	3	0	0
ทัศนียภาพ	9	9	6	3	0	0
ทัฬหีกรรม	9	9	7	2	0	0
ทางม้าลาย	9	9	5	3	1	0
ทานาธิบดี	9	9	5	4	0	0
ท้ายสังข์	9	9	5	2	1	1
ทารุณกรรม	9	9	7	2	0	0
ท่าวกำลัง	9	9	5	3	1	0
ท้าวพระยา	9	9	5	3	1	0
ทำการบ้าน	9	9	5	3	1	0
ทำนองเก็บ	9	9	6	3	0	0
ทำนุบำรุง	9	9	5	4	0	0
ทำปากทำคอ	9	9	6	3	0	0
ทำลายขวัญ	9	9	6	3	0	0
ทำวัตรค่ำ	9	9	5	3	1	0
ทำหูทวนลม	9	9	7	2	0	0
ทำเอาเจ็บ	9	9	4	5	0	0
ทำได้ลงคอ	9	9	6	2	1	0
ทิ้งขว้าง	9	9	5	2	2	0
ทิพยจักษุ	9	9	6	3	0	0
ทิพยมานุษ	9	9	6	3	0	0
ทิพยโศรตร	9	9	7	2	0	0
ทิศานุทิศ	9	9	5	4	0	0
ที่กัลปนา	9	9	5	3	1	0
ที่บังคับ	9	9	5	3	1	0
ที่ปรึกษา	9	9	5	3	1	0
ที่ราบสูง	9	9	5	3	1	0
ที่รโหฐาน	9	9	5	3	1	0
ที่ว่าการ	9	9	4	3	2	0
ที่ไหนได้	9	9	4	3	2	0
ทุกขนิโรธ	9	9	6	3	0	0
ทุกขักษัย	9	9	6	3	0	0
ทุกขารมณ์	9	9	6	2	0	1
ทุกขเวทนา	9	9	6	3	0	0
ทุกวันนี้	9	9	5	3	1	0
ทุนทรัพย์	9	9	6	2	0	1
ทุ่มเถียง	9	9	5	3	1	0
ทุรกันดาร	9	9	6	3	0	0
ทุรนทุราย	9	9	6	3	0	0
ทุรลักษณ์	9	9	6	2	0	1
ทุลักทุเล	9	9	5	4	0	0
ทูตานุทูต	9	9	5	4	0	0
เทกระเป๋า	9	9	4	4	1	0
เทคอนกรีต	9	9	7	2	0	0
เทคโนโลยี	9	9	5	4	0	0
เท็จเทียม	9	9	5	4	0	0
เทพชุมนุม	9	9	6	3	0	0
เทพนิรมิต	9	9	6	3	0	0
เทพบริษัท	9	9	6	3	0	0
เทพาดิเทพ	9	9	5	4	0	0
เทพาธิบดี	9	9	5	4	0	0
เทพารักษ์	9	9	5	3	0	1
เทพีปักษี	9	9	5	4	0	0
เทวสุคนธ์	9	9	6	2	0	1
เทวารัณย์	9	9	5	3	0	1
เทศาภิบาล	9	9	5	4	0	0
เท้าสิงห์	9	9	4	3	1	1
เท่าเทียม	9	9	4	4	1	0
เที่ยงตรง	9	9	6	2	1	0
เที่ยงแท้	9	9	4	3	2	0
เทียนกิ่ง	9	9	5	3	1	0
เทียนชนวน	9	9	7	2	0	0
เทียนตากบ	9	9	6	3	0	0
เทียนบ้าน	9	9	5	3	1	0
เทียนรุ่ง	9	9	5	3	1	0
เทียนแกลบ	9	9	6	3	0	0
เทียบเชิญ	9	9	5	4	0	0
เทียบเท่า	9	9	4	4	1	0
เทียรย่อม	9	9	6	2	1	0
แท่นพิมพ์	9	9	5	2	1	1
แทรกเตอร์	9	9	6	2	0	1
โทรคมนาคม	9	9	7	2	0	0
โทรทรรศน์	9	9	7	1	0	1
โทษานุโทษ	9	9	5	4	0	0
ไทยนับสาม	9	9	6	3	0	0
ไทยนับห้า	9	9	5	3	1	0
ไทเทเนียม	9	9	5	4	0	0
ธงชาติไทย	9	9	6	3	0	0
ธงราชนาวี	9	9	6	3	0	0
ธงไตรรงค์	9	9	7	1	0	1
ธนาคารโลก	9	9	6	3	0	0
ธนุรวิทยา	9	9	6	3	0	0
ธรณีประตู	9	9	6	3	0	0
ธรณีวิทยา	9	9	6	3	0	0
ธรรมการย์	9	9	7	1	0	1
ธรรมขันธ์	9	9	7	1	0	1
ธรรมจรรยา	9	9	8	1	0	0
ธรรมจริยา	9	9	7	2	0	0
ธรรมจักษุ	9	9	7	2	0	0
ธรรมจินดา	9	9	7	2	0	0
ธรรมนิตย์	9	9	7	1	0	1
ธรรมนิยาม	9	9	7	2	0	0
ธรรมนิเวศ	9	9	7	2	0	0
ธรรมยุทธ์	9	9	7	1	0	1
ธรรมรัตน์	9	9	7	1	0	1
ธรรมสถิติ	9	9	7	2	0	0
ธรรมาธรรม	9	9	8	1	0	0
ธรรมายตนะ	9	9	7	2	0	0
ธรรมารมณ์	9	9	7	1	0	1
ธรรมเกษตร	9	9	8	1	0	0
ธรรมเนียม	9	9	7	2	0	0
ธาราธิคุณ	9	9	5	4	0	0
ธุดงควัตร	9	9	7	2	0	0
ธไนศวรรย์	9	9	7	1	0	1
นครโสภิณี	9	9	6	3	0	0
นครโสเภณี	9	9	6	3	0	0
นพเคราะห์	9	9	5	3	0	1
นรกจกเปรต	9	9	8	1	0	0
นวลจันทร์	9	9	7	1	0	1
นวเคราะห์	9	9	5	3	0	1
นอกกฎหมาย	9	9	8	1	0	0
น่องสิงห์	9	9	6	1	1	1
น้อยโหน่ง	9	9	6	1	2	0
นักปราชญ์	9	9	6	2	0	1
นักษัตรบถ	9	9	7	2	0	0
นักสิทธิ์	9	9	5	3	0	1
นั่งทางใน	9	9	5	3	1	0
นั่งยอง ๆ	9	8	5	1	1	0
นั่งเทียน	9	9	5	3	1	0
นั่งเมือง	9	9	5	3	1	0
นันทนาการ	9	9	6	3	0	0
นันทปักษี	9	9	6	3	0	0
นั่นน่ะซี	9	9	4	3	2	0
นัยน์เนตร	9	9	6	2	0	1
นากาสาหรี	9	9	5	4	0	0
นาคสะดุ้ง	9	9	5	3	1	0
นาคเกี่ยว	9	9	5	3	1	0
นางรมใหญ่	9	9	6	2	1	0
นานสองนาน	9	9	7	2	0	0
นานแสนนาน	9	9	6	3	0	0
นามานุกรม	9	9	6	3	0	0
นามาภิไธย	9	9	5	4	0	0
นายประกัน	9	9	6	3	0	0
นาฬิกาน้ำ	9	9	4	4	1	0
นาฬิกาแดด	9	9	5	4	0	0
นาเชิงทรง	9	9	6	3	0	0
น้ำกระสาย	9	9	5	3	1	0
น้ำคาวปลา	9	9	5	3	1	0
น้ำดอกไม้	9	9	5	2	2	0
น้ำตะไคร้	9	9	4	3	2	0
น้ำตาตกใน	9	9	5	3	1	0
น้ำตาลจีน	9	9	5	3	1	0
น้ำทูนหัว	9	9	5	3	1	0
น้ำมันดิน	9	9	5	3	1	0
น้ำมันดิบ	9	9	5	3	1	0
น้ำมันยาง	9	9	5	3	1	0
น้ำมันเตา	9	9	4	4	1	0
น้ำยาเคมี	9	9	4	4	1	0
น้ำลายไหล	9	9	5	3	1	0
น้ำอาบงัว	9	9	5	3	1	0
น้ำเงี้ยว	9	9	4	3	2	0
น้ำเชื่อม	9	9	4	3	2	0
น้ำเลี้ยง	9	9	4	3	2	0
น้ำเหลือง	9	9	5	3	1	0
น้ำแข็งกด	9	9	5	3	1	0
น้ำแข็งไส	9	9	4	4	1	0
น้ำใจใคร่	9	9	4	3	2	0
น้ำใต้ดิน	9	9	4	3	2	0
น้ำใสใจคอ	9	9	5	3	1	0
นิ่งเงียบ	9	9	5	3	1	0
นิติการณ์	9	9	5	3	0	1
นิติบุคคล	9	9	6	3	0	0
นิติสมมติ	9	9	6	3	0	0
นิทรรศการ	9	9	7	2	0	0
นิทรารมณ์	9	9	6	2	0	1
นิบาตชาดก	9	9	6	3	0	0
นิมมานรดี	9	9	6	3	0	0
นิยมนิยาย	9	9	6	3	0	0
นิยยานิก-	9	9	5	3	0	0
นิรมาณกาย	9	9	6	3	0	0
นิรัติศัย	9	9	5	4	0	0
นิรันตราย	9	9	6	3	0	0
นิวคลิอิก	9	9	6	3	0	0
นิวเคลียส	9	9	6	3	0	0
นิศารัตน์	9	9	5	3	0	1
นิสัยใจคอ	9	9	6	3	0	0
นิเคราะห์	9	9	4	4	0	1
นึกไม่ถึง	9	9	5	3	1	0
นเรนทรสูร	9	9	7	2	0	0
เนมิตกนาม	9	9	6	3	0	0
เนาวรัตน์	9	9	5	3	0	1
เนื้อความ	9	9	5	3	1	0
เนื้อฆ้อง	9	9	5	2	2	0
เนื่องจาก	9	9	5	3	1	0
เนื่องแต่	9	9	4	3	2	0
เนืองแน่น	9	9	5	3	1	0
เนื้อทราย	9	9	5	3	1	0
เนื้อร้อง	9	9	5	2	2	0
เนื้อร้าย	9	9	4	3	2	0
เนื้อสมัน	9	9	5	3	1	0
เนื้ออ่อน	9	9	5	2	2	0
เนื้อเค็ม	9	9	4	4	1	0
เนื้อเพลง	9	9	5	3	1	0
แน่นนันต์	9	9	5	2	1	1
แนวที่ห้า	9	9	4	3	2	0
โนเบเลียม	9	9	5	4	0	0
ไนโอเบียม	9	9	5	4	0	0
บงสุกูลิก	9	9	6	3	0	0
บงอับบงรา	9	9	7	2	0	0
บทบัญญัติ	9	9	6	3	0	0
บรทารกรรม	9	9	8	1	0	0
บรรณาธิกร	9	9	7	2	0	0
บรรทัดฐาน	9	9	7	2	0	0
บรรทัดราง	9	9	7	2	0	0
บรรพตกีลา	9	9	7	2	0	0
บรรพตธาตุ	9	9	7	2	0	0
บรรพตมาลา	9	9	7	2	0	0
บรรพตวาสี	9	9	7	2	0	0
บรรพตศิขร	9	9	8	1	0	0
บรรพบุรุษ	9	9	7	2	0	0
บรรลุโสดา	9	9	6	3	0	0
บริขารโจล	9	9	6	3	0	0
บริจาริกา	9	9	5	4	0	0
บริพาชิกา	9	9	5	4	0	0
บริสุทธิ์	9	9	5	3	0	1
บริเฉทกาล	9	9	6	3	0	0
บอกยี่ห้อ	9	9	6	1	2	0
บ้องกัญชา	9	9	6	2	1	0
บ้องยาแดง	9	9	6	2	1	0
บ่อนทำลาย	9	9	6	2	1	0
บังคนหนัก	9	9	7	2	0	0
บังคับการ	9	9	6	3	0	0
บังคับครุ	9	9	6	3	0	0
บังคับลหุ	9	9	6	3	0	0
บังคับเอก	9	9	6	3	0	0
บัณเฑาะก์	9	9	4	4	0	1
บัณเฑาะว์	9	9	4	4	0	1
บัดเดี๋ยว	9	9	5	3	1	0
บัตรเทวดา	9	9	6	3	0	0
บันไดแก้ว	9	9	5	3	1	0
บัวสวรรค์	9	9	7	1	0	1
บ้าน้ำลาย	9	9	4	3	2	0
บานเที่ยง	9	9	5	3	1	0
บ้านเมือง	9	9	5	3	1	0
บ้านเรือน	9	9	5	3	1	0
บ้าระบุ่น	9	9	4	3	2	0
บ้าร่าท่า	9	9	3	3	3	0
บ้าสมบัติ	9	9	5	3	1	0
บาสเกตบอล	9	9	7	2	0	0
บ้าหอบฟาง	9	9	6	2	1	0
บำรุงขวัญ	9	9	6	3	0	0
บิดหัวลูก	9	9	6	3	0	0
บิดเบี้ยว	9	9	5	3	1	0
บีบขนมจีน	9	9	7	2	0	0
บีบบังคับ	9	9	6	3	0	0
บุคลิกทาน	9	9	6	3	0	0
บุคลิกภาพ	9	9	6	3	0	0
บุ้งฝรั่ง	9	9	5	2	2	0
บุพทักษิณ	9	9	6	3	0	0
บุพเปตพลี	9	9	6	3	0	0
บุรพอาษาฒ	9	9	6	3	0	0
บุรุษธรรม	9	9	7	2	0	0
บุหงารำไป	9	9	5	4	0	0
บูดเบี้ยว	9	9	5	3	1	0
บแรงภักษ์	9	9	6	2	0	1
เบญจขันธ์	9	9	6	2	0	1
เบญจคัพภ์	9	9	6	2	0	1
เบญจบรรพต	9	9	8	1	0	0
เบญจโลหกะ	9	9	6	3	0	0
เบ็ดเตล็ด	9	9	5	4	0	0
เบ็ดเสร็จ	9	9	5	4	0	0
เบ้อเริ่ม	9	9	4	3	2	0
เบียกบ้าย	9	9	5	3	1	0
เบียดแว้ง	9	9	5	3	1	0
เบียนธาตุ	9	9	5	4	0	0
เบี้ยปรับ	9	9	5	3	1	0
เบี้ยล่าง	9	9	4	3	2	0
เบี้ยวบูด	9	9	5	3	1	0
เบี้ยหวัด	9	9	5	3	1	0
เบื้องญวน	9	9	6	2	1	0
เบื้องต้น	9	9	5	2	2	0
เบื้องว่า	9	9	4	3	2	0
แบคทีเรีย	9	9	5	4	0	0
แบดมินตัน	9	9	6	3	0	0
แบตเตอรี่	9	9	5	3	1	0
แบบฝึกหัด	9	9	6	3	0	0
แบบสอบถาม	9	9	7	2	0	0
โบกขรพรรษ	9	9	8	1	0	0
โบราณสถาน	9	9	6	3	0	0
ใบกองหนุน	9	9	7	2	0	0
ใบกองเกิน	9	9	6	3	0	0
ใบท้องแดง	9	9	6	2	1	0
ใบเบิกทาง	9	9	5	4	0	0
ปฏิกิริยา	9	9	5	4	0	0
ปฏิภาณกวี	9	9	6	3	0	0
ปฏิสันถาร	9	9	6	3	0	0
ปฐพีวิทยา	9	9	6	3	0	0
ปฐมพยาบาล	9	9	7	2	0	0
ปฐมสมโพธิ	9	9	7	2	0	0
ปฐมสุรทิน	9	9	7	2	0	0
ปปัญจธรรม	9	9	8	1	0	0
ปรนนิบัติ	9	9	6	3	0	0
ปรบมือให้	9	9	6	2	1	0
ปรมาจารย์	9	9	6	2	0	1
ปรมาภิเษก	9	9	6	3	0	0
ปรมาภิไธย	9	9	6	3	0	0
ประกันภัย	9	9	6	3	0	0
ประกีรณกะ	9	9	6	3	0	0
ประคนธรรพ	9	9	8	1	0	0
ประคำร้อย	9	9	6	2	1	0
ประจัญบาน	9	9	6	3	0	0
ประจำฉัตร	9	9	6	3	0	0
ประจุคมน์	9	9	6	2	0	1
ประชาชาติ	9	9	5	4	0	0
ประดนธรรม	9	9	8	1	0	0
ประดาเสีย	9	9	5	4	0	0
ประดิษฐาน	9	9	6	3	0	0
ประดู่ลาย	9	9	5	3	1	0
ประดู่แขก	9	9	5	3	1	0
ประดู่แดง	9	9	5	3	1	0
ประติมากร	9	9	6	3	0	0
ประติศรัพ	9	9	6	3	0	0
ประทักษิณ	9	9	6	3	0	0
ประทัดจีน	9	9	6	3	0	0
ประทัดทอง	9	9	7	2	0	0
ประทับตรา	9	9	6	3	0	0
ประทับราบ	9	9	6	3	0	0
ประทับแรม	9	9	6	3	0	0
ประทุฐจิต	9	9	6	3	0	0
ประทุมราค	9	9	6	3	0	0
ประพฤทธิ์	9	9	6	3	0	1
ประพาสต้น	9	9	6	2	1	0
ประภามณฑล	9	9	7	2	0	0
ประมาณการ	9	9	6	3	0	0
ประมาณตัว	9	9	6	3	0	0
ประลัยวาต	9	9	6	3	0	0
ประวรรตน์	9	9	7	1	0	1
ประสาทการ	9	9	6	3	0	0
ประสาทรูป	9	9	6	3	0	0
ประสิทธิ-	9	9	5	3	0	0
ประสิทธิ์	9	9	5	3	0	1
ประเดี๋ยว	9	9	5	3	1	0
ประเทศราช	9	9	6	3	0	0
ประเปรียว	9	9	6	3	0	0
ประเมินผล	9	9	6	3	0	0
ประโลมโลก	9	9	6	3	0	0
ปรัตยักษ์	9	9	6	2	0	1
ปรัตยันต์	9	9	6	2	0	1
ปรัตยุบัน	9	9	6	3	0	0
ปรับทุกข์	9	9	6	2	0	1
ปรับอากาศ	9	9	6	3	0	0
ปรางค์ปรา	9	9	6	2	0	1
ปริจาริกา	9	9	5	4	0	0
ปริทรรศน์	9	9	7	1	0	1
ปรินิพพาน	9	9	6	3	0	0
ปริพาชิกา	9	9	5	4	0	0
ปลกเปลี้ย	9	9	6	2	1	0
ปลงบริขาร	9	9	7	2	0	0
ปลงสังขาร	9	9	7	2	0	0
ปลงสังเวช	9	9	7	2	0	0
ปลงอาบัติ	9	9	6	3	0	0
ปลดเกษียณ	9	9	7	2	0	0
ปล้องฉนวน	9	9	8	0	1	0
ปล้องอ้อย	9	9	7	0	2	0
ปลอดโปร่ง	9	9	7	1	1	0
ปล่อยปลิง	9	9	7	1	1	0
ปล่อยเกาะ	9	9	5	3	1	0
ปลาบปลื้ม	9	9	6	2	1	0
ปลายนาการ	9	9	6	3	0	0
ปลายเชือก	9	9	6	3	0	0
ปลาสนาการ	9	9	6	3	0	0
ปลาสเตอร์	9	9	6	2	0	1
ปลิ้นปลอก	9	9	7	1	1	0
ปลูกสร้าง	9	9	6	2	1	0
ป่วยกล่าว	9	9	6	1	2	0
ปวัตนาการ	9	9	6	3	0	0
ปสันนาการ	9	9	6	3	0	0
ปสัยหาการ	9	9	6	3	0	0
ปอเต่าไห้	9	9	4	3	2	0
ปะกาปะกัง	9	9	5	4	0	0
ปะทะปะทัง	9	9	5	4	0	0
ปะวะหลิ่ม	9	9	5	3	1	0
ปักขพิฬาร	9	9	6	3	0	0
ปักษาวสาน	9	9	6	3	0	0
ปัจจามิตร	9	9	6	3	0	0
ปัจจุคมน์	9	9	6	2	0	1
ปัจจุสกาล	9	9	6	3	0	0
ปัจจุสมัย	9	9	6	3	0	0
ปัจฉาสมณะ	9	9	6	3	0	0
ปัจฉิมทิศ	9	9	6	3	0	0
ปัจฉิมภาค	9	9	6	3	0	0
ปัจฉิมยาม	9	9	6	3	0	0
ปัจฉิมวัย	9	9	6	3	0	0
ปัจเวกขณ์	9	9	6	2	0	1
ปัจโจสกาล	9	9	6	3	0	0
ปัญจวีสติ	9	9	6	3	0	0
ปัญญาอ่อน	9	9	6	2	1	0
ปัตตานีกะ	9	9	5	4	0	0
ปัตตาเวีย	9	9	5	4	0	0
ปั้นเหน่ง	9	9	5	2	2	0
ปากกระจับ	9	9	6	3	0	0
ปากจิ้งจก	9	9	6	2	1	0
ปากต่อปาก	9	9	6	2	1	0
ปากตะกร้อ	9	9	6	2	1	0
ปากนกแก้ว	9	9	6	2	1	0
ปากปลาร้า	9	9	5	3	1	0
ปาจิตตีย์	9	9	5	3	0	1
ป่าชายเลน	9	9	5	3	1	0
ปาณาติบาต	9	9	5	4	0	0
ปาณิมุกต์	9	9	5	3	0	1
ปาติโมกข์	9	9	5	3	0	1
ปาท่องโก๋	9	9	5	2	2	0
ป่าผลัดใบ	9	9	5	3	1	0
ปารุสกวัน	9	9	6	3	0	0
ป่าละเมาะ	9	9	3	5	1	0
ปาลิไลยก์	9	9	5	3	0	1
ป่าเถื่อน	9	9	4	3	2	0
ปี่นอกต่ำ	9	9	5	2	2	0
ปีนเกลียว	9	9	6	3	0	0
ปุพพภัททะ	9	9	6	3	0	0
ปุ่มเปือก	9	9	5	3	1	0
ปุยกระโดน	9	9	6	3	0	0
ปุเรจาริก	9	9	5	4	0	0
เป็ดไฟแดง	9	9	5	4	0	0
เป็นทุกข์	9	9	5	3	0	1
เป็นนิตย์	9	9	5	3	0	1
เป็นพัก ๆ	9	8	4	3	0	0
เป็นระนาว	9	9	5	4	0	0
เป็นวัน ๆ	9	8	4	3	0	0
เป็นอัตรา	9	9	5	4	0	0
เป็นเทือก	9	9	5	4	0	0
เป็นไหน ๆ	9	8	4	3	0	0
เปรตวิษัย	9	9	6	3	0	0
เปรตวิสัย	9	9	6	3	0	0
เปราะแประ	9	9	4	5	0	0
เปลี่ยนใจ	9	9	5	3	1	0
เปลี่ยวดำ	9	9	5	3	1	0
เปลือกโลก	9	9	6	3	0	0
เปลือยกาย	9	9	6	3	0	0
เปศลมัธย์	9	9	6	2	0	1
เปศัสการี	9	9	5	4	0	0
เป่ามนตร์	9	9	5	2	1	1
เป้าสายตา	9	9	4	4	1	0
เปาะเหลาะ	9	9	3	6	0	0
เป่าใบไม้	9	9	3	4	2	0
เปิดกล้อง	9	9	6	2	1	0
เปิดบัญชี	9	9	5	4	0	0
เปียกชื้น	9	9	5	3	1	0
แป้งสารภี	9	9	5	3	1	0
แป้งเปียก	9	9	5	3	1	0
แป้งเหล้า	9	9	4	3	2	0
แปดสาแหรก	9	9	6	3	0	0
แปดเปื้อน	9	9	5	3	1	0
แปรงหูหนู	9	9	6	3	0	0
แปร้นแปร๋	9	9	5	2	2	0
แปรพักตร์	9	9	6	2	0	1
แปร๋แปร้น	9	9	5	2	2	0
แปลตามตัว	9	9	6	3	0	0
แปเหลี่ยม	9	9	5	3	1	0
โปกขรพรรษ	9	9	8	1	0	0
โป๊กเกอร์	9	9	5	2	1	1
โป๊ยเซียน	9	9	5	3	1	0
โปรดสัตว์	9	9	6	2	0	1
ไป ๆ มา ๆ	9	6	2	2	0	0
ไปค้าถ่าน	9	9	4	3	2	0
ไปมาหาสู่	9	9	4	4	1	0
ผดุงครรภ์	9	9	7	1	0	1
ผมชิงเกิล	9	9	6	3	0	0
ผมมหาดไทย	9	9	7	2	0	0
ผมหลักแจว	9	9	7	2	0	0
ผลพลอยได้	9	9	7	1	1	0
ผลานิสงส์	9	9	6	2	0	1
ผลิกศิขรี	9	9	6	3	0	0
ผลิตภัณฑ์	9	9	6	2	0	1
ผสมพันธุ์	9	9	6	2	0	1
ผักขี้ขวง	9	9	6	2	1	0
ผักทอดยอด	9	9	8	1	0	0
ผักปลาบนา	9	9	6	3	0	0
ผักรู้นอน	9	9	6	2	1	0
ผักสามหาว	9	9	6	3	0	0
ผักเสี้ยน	9	9	5	3	1	0
ผัคคุณมาส	9	9	6	3	0	0
